100 53
15 30 0
60 18 0
4 59 0
3 68 0
33 97 0
44 40 0
18 62 0
22 89 0
62 92 0
1 95 0
42 53 0
41 69 0
17 11 0
18 78 0
37 18 0
9 76 0
52 27 0
61 27 0
69 56 0
27 55 0
48 24 0
36 19 0
17 29 0
68 85 0
11 40 0
99 9 0
16 76 0
20 75 0
93 81 0
5 53 0
31 67 0
70 36 0
20 50 0
98 37 0
83 58 0
5 6 0
63 64 0
97 27 0
42 23 0
77 22 0
74 51 0
98 54 0
85 33 0
20 89 0
79 16 0
76 60 0
24 75 0
21 73 0
55 86 0
6 92 0
84 96 0
61 62 0
77 71 0
78 16 0
92 0 0
37 43 0
90 74 0
10 64 0
6 13 0
8 83 0
32 72 0
53 64 0
65 31 0
68 30 0
95 37 0
11 92 0
78 59 0
76 44 0
59 40 0
29 89 0
6 50 0
51 31 0
81 89 0
77 43 0
23 69 0
1 92 0
58 31 0
75 5 0
15 34 0
81 24 0
80 62 0
84 70 0
22 52 0
42 66 0
22 54 0
39 50 0
71 88 0
8 33 0
46 77 0
37 55 0
29 25 0
43 29 0
20 60 0
42 15 0
95 43 0
64 8 0
46 5 0
66 66 0
6 41 0
17 17 0
